Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0039,2026-05-19,Інше,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,1,"88,10 грн","93,39 грн","88,10 грн","93,39 грн",для формування містері бокса,Продаж MBZ-PHYS-0002
WRT-0040,2026-05-19,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,1,"41,07 грн","43,53 грн","41,07 грн","43,53 грн",для формування містері бокса,Продаж MBZ-PHYS-0002
WRT-0041,2026-05-19,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,1,"57,61 грн","61,07 грн","57,61 грн","61,07 грн",для формування містері бокса,Продаж MBZ-PHYS-0002
WRT-0042,2026-05-19,Інше,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,2,"63,19 грн","66,98 грн","126,38 грн","133,96 грн",для формування містері бокса,Продаж MBZ-PHYS-0002
WRT-0043,2026-05-20,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,5,"64,88 грн","68,78 грн","324,40 грн","343,90 грн",для формування містері бокса,Інвентаризація 2026-05-20; розподіл 10 бустерів на містері бокси приблизний
WRT-0044,2026-05-20,Інше,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,2,"76,87 грн","81,48 грн","153,74 грн","162,96 грн",для формування містері бокса,Інвентаризація 2026-05-20; розподіл 10 бустерів на містері бокси приблизний
WRT-0045,2026-05-20,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",для формування містері бокса,Інвентаризація 2026-05-20; розподіл 10 бустерів на містері бокси приблизний
WRT-0046,2026-05-20,Інше,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,1,"88,10 грн","93,39 грн","88,10 грн","93,39 грн",для формування містері бокса,Інвентаризація 2026-05-20; розподіл 10 бустерів на містері бокси приблизний
WRT-0047,2026-05-20,Інше,OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,1,"69,81 грн","74,00 грн","69,81 грн","74,00 грн",для формування містері бокса,Інвентаризація 2026-05-20; розподіл 10 бустерів на містері бокси приблизний
WRT-0048,2026-05-20,Власне відкриття,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,3,"64,88 грн","68,78 грн","194,64 грн","206,34 грн",Коригування фактичного залишку,Інвентаризація 2026-05-20; власне відкриття / різниця понад містері бокси
WRT-0049,2026-05-20,Власне відкриття,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,2,"76,87 грн","81,48 грн","153,74 грн","162,96 грн",Коригування фактичного залишку,Інвентаризація 2026-05-20; власне відкриття / різниця понад містері бокси
WRT-0050,2026-05-20,Власне відкриття,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",Коригування фактичного залишку,Інвентаризація 2026-05-20; власне відкриття / різниця понад містері бокси
WRT-0051,2026-05-20,Інше,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,-3,"61,25 грн","64,92 грн","-183,75 грн","-194,76 грн",Інвентаризаційний надлишок,"Інвентаризація 2026-05-20; факт 4 шт, CRM 1 шт; коригування +3 через від'ємне списання"
WRT-0052,2026-05-20,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,-7,"51,72 грн","54,82 грн","-362,04 грн","-383,74 грн",Інвентаризаційне коригування SKU,Інвентаризація 2026-05-20; факт 0 шт; виправлення перерозподілу між Munics Zero і Outlet Mix
WRT-0053,2026-05-22,Власне відкриття,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,1,"90,58 грн","96,01 грн","90,58 грн","96,01 грн",Тестове відкриття,yskh200 хвіст; 1 шт відкрито перед перенесенням решти в Low Pull
WRT-0054,2026-05-22,Власне відкриття,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,2,"59,20 грн","62,75 грн","118,40 грн","125,50 грн",Тестове відкриття,yskh200 хвіст; 2 шт відкрито перед перенесенням решти в Low Pull
WRT-0055,2026-05-24,Власне відкриття,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,5,"68,89 грн","73,02 грн","344,43 грн","365,10 грн",Тестове відкриття з yskh194 / LX319755939JP,
WRT-0056,2026-05-24,Власне відкриття,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,1,"82,21 грн","87,14 грн","82,21 грн","87,14 грн",Тестове відкриття з yskh204 (A) / LX319755939JP,
WRT-0057,2026-05-24,Власне відкриття,OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,5,"72,54 грн","76,89 грн","362,71 грн","384,47 грн",Коригування залишку до 0: власне відкриття,
WRT-0058,2026-06-04,Власне відкриття,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,5,"41,07 грн","43,53 грн","205,35 грн","217,65 грн",Відкриття для себе / перевірка партії,Посилка LX319422318JP; LOT-0032 / yskh130.
