Склад,,,,,,,,,,,,,,,,,,,
SKU,Назва товару,Категорія / бренд,Формат,Закуплено,Продано,Списано,Залишок,Середня собівартість / ПРРО,Середня управлінська собівартість,Вартість залишку / ПРРО,Управлінська вартість залишку,Потенційна виручка,Потенційний прибуток,Мінімальний залишок,Статус залишку,Очікується / Японія,Закуплено всього,Передзамовлено / резерв,Очікується після резерву
OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,One Piece,Booster,48,6,12,30,"82,67 грн","87,63 грн","2 480,10 грн","2 628,90 грн","5 100,00 грн","2 471,10 грн",5,ОК,0,48,0,0
OP-JP-OP08-BBX,One Piece — OP-08 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
PKM-JP-MIX-MBX,Pokémon — Mystery Mix — JP — Mystery Box,Pokémon,Mystery Box,0,15,0,0,"450,00 грн","450,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",0,Немає,0,0,0,0
OP-JP-MIX-MBX,One Piece — Mystery Mix — JP — Mystery Box,One Piece,Mystery Box,0,8,0,0,"450,00 грн","450,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",0,Немає,0,0,0,0
OP-JP-PRB01-BST,One Piece — PRB-01 — JP — Booster,One Piece,Booster,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,0,0,0
OP-JP-PRB01-BBX,One Piece — PRB-01 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP07-BBX,One Piece — OP-07 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP10-BBX,One Piece — OP-10 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP11-BBX,One Piece — OP-11 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-EB03-BBX,One Piece — EB-03 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP12-BBX,One Piece — OP-12 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP14-BBX,One Piece — OP-14 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP15-BBX,One Piece — OP-15 — JP — Booster Box,One Piece,Booster Box,2,0,0,2,"3 640,83 грн","3 859,28 грн","7 281,66 грн","7 718,56 грн","10 400,00 грн","2 681,44 грн",1,ОК,0,2,0,0
YGO-JP-BDOM-BST,Yu-Gi-Oh! — Blazing Dominion — JP — Booster,Yu-Gi-Oh!,Booster,30,0,1,29,"30,95 грн","32,81 грн","897,55 грн","951,49 грн","4 350,00 грн","3 398,51 грн",1,ОК,0,30,0,0
YGO-JP-BDOM-BBX,Yu-Gi-Oh! — Blazing Dominion — JP — Booster Box,Yu-Gi-Oh!,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
PKM-JP-MSYM-BBX,Pokémon — Mega Symphonia — JP — Booster Box,Pokémon,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,2,0,0
PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,Pokémon,Booster,30,2,4,24,"213,47 грн","226,28 грн","5 123,28 грн","5 430,72 грн","8 400,00 грн","2 969,28 грн",5,ОК,0,50,0,0
PKM-JP-SHTR-BST,Pokémon — Shiny Treasure ex — JP — Booster,Pokémon,Booster,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,0,0,0
MTG-JP-AFRS-BST,MTG — Adventures in the Forgotten Realms — JP — Booster,MTG,Booster,0,0,0,0,"139,34 грн","147,70 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,30,30,0,30
PKM-JP-WFLR-BST,Pokémon — White Flare — JP — Booster,Pokémon,Booster,10,1,0,9,"217,84 грн","230,91 грн","1 960,56 грн","2 078,19 грн","3 150,00 грн","1 071,81 грн",5,ОК,0,30,0,0
PKM-JP-SVEX-BLR,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,Pokémon,Blister,4,1,0,3,"1 271,31 грн","1 347,59 грн","3 813,93 грн","4 042,77 грн","6 300,00 грн","2 257,23 грн",1,ОК,0,5,0,0
YGO-JP-WPP5-BST,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster,Yu-Gi-Oh!,Booster,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,Yu-Gi-Oh!,Booster Box,1,0,0,1,"936,38 грн","992,56 грн","936,38 грн","992,56 грн","1 200,00 грн","207,44 грн",1,Мало,0,1,0,0
PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,Pokémon,Booster,30,17,1,12,"71,52 грн","75,81 грн","858,24 грн","909,72 грн","1 320,00 грн","410,28 грн",1,ОК,0,30,0,0
PKM-JP-ABYE-BST,Pokémon — Abyss Eye — JP — Booster,Pokémon,Booster,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,0,0,0
PKM-JP-ABYE-BBX,Pokémon — Abyss Eye — JP — Booster Box,Pokémon,Booster Box,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,2,0,0
PKM-JP-MBRV-BBX,Pokémon — Mega Brave — JP — Booster Box,Pokémon,Booster Box,2,0,0,2,,,"0,00 грн","0,00 грн","10 000,00 грн","10 000,00 грн",1,ОК,0,2,0,0
ACC-001,"Протектори для карток 63×89 мм, 100 шт",Generic,Accessory,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,8,8,0,8
ACC-002,"Протектори Games 7 Days Premium+ 63,5×88 мм, 50 шт",Games 7 Days,Accessory,10,1,0,9,"66,05 грн","70,01 грн","594,45 грн","630,09 грн","900,00 грн","269,91 грн",5,ОК,0,10,0,0
ACC-003,"Топлоадери для карток 35PT, 25 шт",Generic,Accessory,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",2,Немає,4,4,0,4
ACC-004,Магнітний кейс для карток 35PT,Generic,Accessory,14,1,0,13,"25,84 грн","27,40 грн","335,92 грн","356,20 грн","975,00 грн","618,80 грн",2,ОК,0,14,0,0
ACC-005,Акрилова підставка для магнітного кейсу,Generic,Accessory,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",2,Немає,0,0,0,0
ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,Games 7 Days,Accessory,5,0,0,5,"17,91 грн","18,98 грн","89,55 грн","94,90 грн","100,00 грн","5,10 грн",5,Мало,0,5,0,0
ACC-007,"Альбом для колекційних карток, жовтий",Generic,Accessory,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,1,1,0,1
ACC-008,"Акриловий протектор без магніта, 1 шт",Generic,Accessory,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",2,Немає,10,10,0,10
ACC-009,"Топлоадер для картки 35PT, 1 шт",Generic,Accessory,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,10,10,0,10
PKM-EN-PORD-BBN,Pokémon — Perfect Order — EN — Booster Bundle,Pokémon,Booster Bundle,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,5,0,0
PKM-EN-PORD-BST,Pokémon — Perfect Order — EN — Booster,Pokémon,Booster,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,0,0,0
PKM-EN-CHRS-BBN,Pokémon — Chaos Rising — EN — Booster Bundle,Pokémon,Booster Bundle,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,5,0,0
PKM-EN-CHRS-BST,Pokémon — Chaos Rising — EN — Booster,Pokémon,Booster,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,0,0,0
OP-JP-OP16-BBX,One Piece — OP-16 — JP — Booster Box,One Piece,Booster Box,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
OP-JP-OP16-BST,One Piece — OP-16 — JP — Booster,One Piece,Booster,0,0,0,0,,,"0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,24,0,0
