Товари,,,,,,,,,,,,,,
SKU,Коротка назва,Повна назва для сайту,Бренд,Мова,Сет,Формат,Карт у бустері,Бустерів у боксі,Поточна ціна продажу,Мінімальний залишок,Активний товар,Посилання на товар,Примітка,Фіксована собівартість
YGO-JP-WPP5-BST,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster,Yu-Gi-Oh! JP World Premiere Pack 2024 booster pack sealed,Yu-Gi-Oh!,JP,World Premiere Pack 2024,Booster,5,15,"80,00 грн",1,Так,,Додано 2026-06-04 після виграного лоту WORLD PREMIERE PACK 2024 unopened BOX; pack SKU готовий для роздербану бокса; 1 box = 15 packs.,
YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,Yu-Gi-Oh! JP World Premiere Pack 2024 booster box sealed,Yu-Gi-Oh!,JP,World Premiere Pack 2024,Booster Box,5,15,"1 200,00 грн",1,Так,,Додано 2026-06-04 після виграного лоту WORLD PREMIERE PACK 2024 unopened BOX; основний SKU для заливу як box; якщо не продаватиметься — роздербанити на 15 packs.,
PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,Pokemon KR Hot Wind Arena booster pack sealed,Pokémon,KR,Hot Wind Arena,Booster,5,30,"110,00 грн",1,Так,,Додано 2026-06-05 після роздербану PKM-KR-HWAK-BBX / LOT-0022; 1 box = 30 boosters.,
PKM-JP-ABYE-BST,Pokémon — Abyss Eye — JP — Booster,Pokemon JP Abyss Eye booster pack sealed,Pokémon,JP,Abyss Eye,Booster,5,30,"220,00 грн",5,Так,,Додано 2026-06-14: Pokemon JP Abyss Eye booster SKU; РРЦ 220 грн; 1 display = 30 boosters.,
PKM-JP-ABYE-BBX,Pokémon — Abyss Eye — JP — Booster Box,Pokemon JP Abyss Eye booster box sealed,Pokémon,JP,Abyss Eye,Booster Box,5,30,"6 500,00 грн",1,Так,,Додано 2026-06-14: Pokemon JP Abyss Eye booster box/display SKU; РРЦ 6500 грн; 1 display = 30 boosters.,
PKM-JP-MBRV-BBX,Pokémon — Mega Brave — JP — Booster Box,Pokemon JP Mega Brave booster box sealed,Pokémon,JP,Mega Brave,Booster Box,5,30,"5 000,00 грн",1,Так,,Додано 2026-06-20: Pokemon JP Mega Brave booster box/display SKU; РРЦ 5000 грн; 1 display = 30 boosters.,
ACC-001,"Протектори для карток 63×89 мм, 100 шт","Прозорі протектори для карток Standard 63×89 мм, 100 шт",Generic,,,Accessory,,,"80,00 грн",5,Так,,ACC-001; 100 шт в упаковці; 63×89 мм; PP; РРЦ 80 грн.,
ACC-002,"Протектори Games 7 Days Premium+ 63,5×88 мм, 50 шт","Протектори Games 7 Days Premium+ Quality 110 мкм, 50 шт",Games 7 Days,,,Accessory,,,"100,00 грн",5,Так,,ACC-002; EAN 4820241791118; 50 шт; 110 мкм; РРЦ 100 грн.,
ACC-003,"Топлоадери для карток 35PT, 25 шт","Жорсткі прозорі топлоадери для карток 35PT, 25 шт",Generic,,,Accessory,,,"280,00 грн",2,Так,,ACC-003; 25 шт в упаковці; 35PT; РРЦ 350 грн.,
ACC-004,Магнітний кейс для карток 35PT,Жорсткий прозорий протектор з магнітом 35PT,Generic,,,Accessory,,,"75,00 грн",2,Так,,ACC-004; продаж по 1 шт; 35PT; РРЦ 50 грн; закуплено 10 шт у Temu.,
ACC-005,Акрилова підставка для магнітного кейсу,Тримач-підставка для жорстких магнітних протекторів,Generic,,,Accessory,,,"15,00 грн",2,Так,,ACC-005; продаж по 1 шт; РРЦ 15 грн.,
ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,"9 Pocket Page G7D Premium Series, 11 отворів, 100 мкм",Games 7 Days,,,Accessory,,,"20,00 грн",5,Так,,ACC-006; продаж по 1 аркушу; 9 кишеньок; 11 отворів; 100 мкм; РРЦ 20 грн.,
ACC-007,"Альбом для колекційних карток, жовтий","Альбом-біндер для колекційних карток, жовтий",Generic,,,Accessory,,,,1,Так,,ACC-007; продаж по 1 шт; жовтий альбом; закупівля Temu.,
ACC-008,"Акриловий протектор без магніта, 1 шт",Жорсткий прозорий акриловий протектор для картки без магніта,Generic,,,Accessory,,,,2,Так,,ACC-008; продаж по 1 шт; акриловий протектор без магніта; закупівля Temu.,
ACC-009,"Топлоадер для картки 35PT, 1 шт","Жорсткий прозорий топлоадер для картки 35PT, 1 шт",Generic,,,Accessory,,,,5,Так,,ACC-009; продаж по 1 шт; прозорий топлоадер 35PT; закупівля Temu.,
PKM-EN-PORD-BBN,Pokémon — Perfect Order — EN — Booster Bundle,Pokemon TCG Mega Evolution Perfect Order Booster Bundle EN sealed,Pokémon,EN,Perfect Order,Booster Bundle,10,6,"2 100,00 грн",1,Так,,Додано 2026-07-07: англомовний SKU; РРЦ 2000 грн. Для сайту: додати в категорії «Бустер бокси» та «Набори».,
PKM-EN-PORD-BST,Pokémon — Perfect Order — EN — Booster,Pokemon TCG Mega Evolution Perfect Order Booster Pack EN sealed,Pokémon,EN,Perfect Order,Booster,10,6,"350,00 грн",5,Так,,Додано 2026-07-07: англомовний SKU; РРЦ скориговано до 340 грн.,
PKM-EN-CHRS-BBN,Pokémon — Chaos Rising — EN — Booster Bundle,Pokemon TCG Mega Evolution 04 Chaos Rising Booster Bundle EN sealed,Pokémon,EN,Chaos Rising,Booster Bundle,10,6,"2 100,00 грн",1,Так,,Додано 2026-07-07: англомовний SKU; РРЦ 2200 грн. Для сайту: додати в категорії «Бустер бокси» та «Набори».,
PKM-EN-CHRS-BST,Pokémon — Chaos Rising — EN — Booster,Pokemon TCG Mega Evolution 04 Chaos Rising Booster Pack EN sealed,Pokémon,EN,Chaos Rising,Booster,10,6,"350,00 грн",5,Так,,Додано 2026-07-07: англомовний SKU; РРЦ скориговано до 380 грн.,
OP-JP-OP16-BBX,One Piece — OP-16 — JP — Booster Box,One Piece JP OP-16 Kessen no Toki booster box sealed (決戦の刻),One Piece,JP,OP-16,Booster Box,6,24,"6 500,00 грн",1,Так,,Додано 2026-07-08: ZenMarket/Rakuma yskh288; OP-16 «決戦の刻» / Kessen no Toki; 1 box = 24 packs; РРЦ 6900 грн. Виправлено з тимчасового KTOK на OP-16.,
OP-JP-OP16-BST,One Piece — OP-16 — JP — Booster,One Piece JP OP-16 Kessen no Toki booster pack sealed (決戦の刻),One Piece,JP,OP-16,Booster,6,24,"260,00 грн",5,Так,,Додано 2026-07-08: ZenMarket/Rakuma yskh288; OP-16 «決戦の刻» / Kessen no Toki; 1 box = 24 packs; РРЦ 280 грн. Виправлено з тимчасового KTOK на OP-16.,
