Booster Shop CRM - Дашборд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,Назва,Виручка,Чистий прибуток,Продано,Статус,Бренд,Формат,Останній продаж
ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,5,5,Мало,,2026-05,37,"41 842,50 грн","15 049,19 грн","1 130,88 грн",,Monobazar,6,"5 050,00 грн","1 549,29 грн","841,67 грн",,,,,,,,,,OP-JP-EB03-BBX,One Piece — EB-03 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
,,,,,,2026-06,35,"39 324,75 грн","9 472,13 грн","1 123,56 грн",,Вручну,1,"750,00 грн","194,80 грн","750,00 грн",,,,,,,,,,OP-JP-OP12-BBX,One Piece — OP-12 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
,,,,,,2026-07,10,"10 512,50 грн","3 356,01 грн","1 051,25 грн",,Інше,2,"6 350,00 грн","1 935,66 грн","3 175,00 грн",,,,,,,,,,OP-JP-OP14-BBX,One Piece — OP-14 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
,,,,,,,,,,,,,,,,,,,,,,,,,,OP-JP-OP15-BBX,One Piece — OP-15 — JP — Booster Box,"0,00 грн","0,00 грн",0,ОК,One Piece,Booster Box,1899-12-30
,,,,,,,,,,,,,,,,,,,,,,,,,,YGO-JP-BDOM-BST,Yu-Gi-Oh! — Blazing Dominion — JP — Booster,"0,00 грн","0,00 грн",0,ОК,Yu-Gi-Oh!,Booster,1899-12-30
,,,,,,,,,,,,,,,,,,,,,,,,,,YGO-JP-BDOM-BBX,Yu-Gi-Oh! — Blazing Dominion — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,Yu-Gi-Oh!,Booster Box,1899-12-30
Довго не продавалися / без продажів,,,,,,Наявні SKU на складі,,,,,,,,,,,,,,,,,,,,PKM-JP-MSYM-BBX,Pokémon — Mega Symphonia — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster Box,1899-12-30
SKU,Назва,Залишок,Останній продаж,Статус,,SKU,Назва,Залишок на складі,Очікується,,,,,,,,,,,,,,,,,PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,"297,50 грн","69,85 грн",2,ОК,Pokémon,Booster,2026-07-09
,,,,,,ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,5,0,,,,,,,,,,,,,,,,,PKM-JP-SHTR-BST,Pokémon — Shiny Treasure ex — JP — Booster,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster,1899-12-30
,,,,,,ACC-004,Магнітний кейс для карток 35PT,13,0,,,,,,,,,,,,,,,,,MTG-JP-AFRS-BST,MTG — Adventures in the Forgotten Realms — JP — Booster,"0,00 грн","0,00 грн",0,Немає,MTG,Booster,1899-12-30
,,,,,,ACC-002,"Протектори Games 7 Days Premium+ 63,5×88 мм, 50 шт",9,0,,,,,,,,,,,,,,,,,PKM-JP-WFLR-BST,Pokémon — White Flare — JP — Booster,"297,50 грн","63,30 грн",1,ОК,Pokémon,Booster,2026-07-09
,,,,,,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,7,0,,,,,,,,,,,,,,,,,PKM-JP-SVEX-BLR,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,"2 100,00 грн","632,54 грн",1,ОК,Pokémon,Blister,2026-07-04
