РРЦ / актуальні ціни продажу,,,,,,,
SKU,Назва товару,Бренд,Формат,"РРЦ, грн",Дата оновлення,Примітка,Динамічна РРЦ
PKM-EN-PBLK-BLR-SLP,Pokémon — Pitch Black — EN — Blister — Slowpoke,Pokémon,Blister,"550,00 грн",2026-08-08,Початкова РРЦ 2026-08-08: PKM-EN-PBLK-BLR-SLP; Checklane Blister Slowpoke.,
OP-JP-ST32-STD,One Piece — ST-32 — JP — Starter Deck,One Piece,Starter Deck,"700,00 грн",2026-08-10,Початкова РРЦ 2026-08-10: OP-JP-ST32-STD.,
OP-JP-ST33-STD,One Piece — ST-33 — JP — Starter Deck,One Piece,Starter Deck,"700,00 грн",2026-08-10,Початкова РРЦ 2026-08-10: OP-JP-ST33-STD.,
OP-JP-ST34-STD,One Piece — ST-34 — JP — Starter Deck,One Piece,Starter Deck,"700,00 грн",2026-08-10,Початкова РРЦ 2026-08-10: OP-JP-ST34-STD.,
OP-JP-ST35-STD,One Piece — ST-35 — JP — Starter Deck,One Piece,Starter Deck,"700,00 грн",2026-08-10,Початкова РРЦ 2026-08-10: OP-JP-ST35-STD.,
OP-JP-ST36-STD,One Piece — ST-36 — JP — Starter Deck,One Piece,Starter Deck,"700,00 грн",2026-08-10,Початкова РРЦ 2026-08-10: OP-JP-ST36-STD.,
FIG-LUFFY-500,"Фігурка Луффі, рухома (One Piece) — 3D-друк",Booster Shop,3D аксесуар,"75,00 грн",2026-08-13,Створено через owner dashboard: FIG-LUFFY-500; Створено з 3D-друк / Вироби,
PKM-JP-SPIN-BBX,Pokémon — Ninja Spinner — JP — Booster Box,Pokémon,Booster Box,"4 700,00 грн",2026-08-17,Створено через owner dashboard: PKM-JP-SPIN-BBX,
YGO-JP-BETB-BST,Yu-Gi-Oh! — BEYOND THE BRAVE — JP — Booster,Yu-Gi-Oh!,Booster,"75,00 грн",2026-08-17,Створено через owner dashboard: YGO-JP-BETB-BST,
YGO-JP-BETB-BBX,Yu-Gi-Oh! — BEYOND THE BRAVE — JP — Booster Box,Yu-Gi-Oh!,Booster Box,"2 500,00 грн",2026-08-17,Створено через owner dashboard: YGO-JP-BETB-BBX,
PKM-JP-TGTR-BST,Pokémon — The Glory of Team Rocket — JP — Booster,Pokémon,Booster,"320,00 грн",2026-08-17,РРЦ змінено через owner dashboard: PKM-JP-TGTR-BST; 270 -> 320,
PKM-JP-TGTR-BBX,Pokémon — The Glory of Team Rocket — JP — Booster Box,Pokémon,Booster Box,"12 000,00 грн",2026-08-17,РРЦ змінено через owner dashboard: PKM-JP-TGTR-BBX; 10000 -> 12000,
PKM-JP-INFX-BBX,Pokémon — Inferno X — JP — Booster Box,Pokémon,Booster Box,"6 500,00 грн",2026-08-18,Створено через owner dashboard: PKM-JP-INFX-BBX,
PKM-JP-STES-BST,Pokémon — Storm Emeralda — JP — Booster,Pokémon,Booster,"220,00 грн",2026-08-20,Створено через owner dashboard: PKM-JP-STES-BST,
PKM-JP-STES-BBX,Pokémon — Storm Emeralda — JP — Booster Box,Pokémon,Booster Box,"5 900,00 грн",2026-08-20,Створено через owner dashboard: PKM-JP-STES-BBX,
YGO-JP-QCAC-BBX,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster Box,Yu-Gi-Oh!,Booster Box,"2 800,00 грн",2026-08-21,Створено через owner dashboard: YGO-JP-QCAC-BBX,
ACC-007-400,"Альбом для колекційних карток, на 400 карток",Generic,Accessory,"550,00 грн",2026-08-21,Створено через owner dashboard: ACC-007-400,
BR-BULB-100,Брелок Бульбазавр (Pokémon) — 3D-друк,Booster Shop,3D аксесуар,"25,00 грн",2026-08-23,РРЦ 3D синхронізовано через owner dashboard: BR-BULB-100; 2 -> 25,
BR-MEW-100,Брелок Мью (Pokémon) — 3D-друк,Booster Shop,3D аксесуар,"2,00 грн",2026-08-23,Створено через owner dashboard: BR-MEW-100; Створено з 3D-друк / Вироби,
BR-PIKA-100,Брелок Пікачу (Pokémon) — 3D-друк,Booster Shop,3D аксесуар,"25,00 грн",2026-08-23,РРЦ 3D синхронізовано через owner dashboard: BR-PIKA-100; 2 -> 25,
PKM-JP-SVEL-SET,Pokémon — Terastal Loudbone ex — JP — Starter Set,Pokémon,Starter Set,"650,00 грн",2026-08-24,Створено через owner dashboard: PKM-JP-SVEL-SET,
FIG-LUFFY-410,Картина Луффі (One Piece) — 3D-друк,Booster Shop,3D аксесуар,"222,00 грн",2026-08-24,3D артикул змінено через owner dashboard: FIG-LUFFY-411 -> FIG-LUFFY-410; РРЦ 222 -> 222,
